ad
                           supply                    supply     clock
                            amps                      volts     volts
                        A3 0.88         EA 0.43   11.8 V     3.3 V   15:57:09.19
Rx 0.22 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:09.70
Rx 0.20 Tx                 A3 0.88 A4 0.96 EA 0.55   11.8 V     3.3 V   15:57:10.22
Rx 0.21 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:10.73

>up
Upload #15
Reader: UPSTREAM 34  Site: AA
--------- upload 15 start ---------
E 2017-05-01 14:55:43.65 upload 14 complete
E 2017-05-01 15:04:29.76 supply power ok 12.4V
E 2017-05-01 15:04:29.76 database file opened
E 2017-05-01 15:04:29.77 starting reader after power up
D 2017-05-02 20:46:33.47 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 20:49:26.13 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 21:01:30.20 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-02 21:04:23.43 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 21:16:26.91 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-02 21:19:20.86 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 21:31:23.39 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 21:34:18.19 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
D 2017-05-02 21:46:20.08 00:00:00.00 HR 0000_0000000180598569 A3    1  4454
D 2017-05-02 21:49:15.49 00:00:00.00 HR 0000_0000000180573731 A4    1  4457
D 2017-05-02 22:01:16.66 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
