ad
                           supply                    supply     clock
                            amps                      volts     volts
        A1 1.82                         EA 0.89   11.8 V     3.3 V   13:34:20.70
Rx 0.20 Tx A1 1.79 A2 0.72                 EA 0.72   11.8 V     3.3 V   13:34:21.23
Rx 0.21 Tx A1 1.80 A2 0.72                 EA 0.72   11.8 V     3.3 V   13:34:21.74
Rx 0.20 Tx A1 1.81 A2 0.73                 EA 0.72   11.8 V     3.3 V   13:34:22.26

>up
Upload #26
Reader: DOWNSTREAM 12  Site: AA
--------- upload 26 start ---------
E 2017-06-05 11:44:34.67 upload 25 complete
D 2017-06-05 11:45:41.28 00:00:00.00 HR 0000_0000000180843403 A1    1   627
E 2017-06-05 12:07:45.41 supply power ok 12.5V
E 2017-06-05 12:07:45.41 database file opened
E 2017-06-05 12:07:45.41 starting reader after power up
D 2017-06-06 15:19:23.86 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-06-06 15:30:46.89 00:00:00.21 HR 0000_0000000180843440 A2    2  4440
D 2017-06-06 15:34:17.97 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-06-06 15:45:41.67 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-06-06 15:49:11.79 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 16:00:36.14 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-06-06 16:04:05.86 00:00:00.20 HR 0000_0000000180843403 A1    2  4439
D 2017-06-06 16:15:30.59 00:00:00.20 HR 0000_0000000180843440 A2    2  4441
D 2017-06-06 16:18:59.93 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 16:30:25.18 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 16:33:53.93 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 16:45:19.76 00:00:00.20 HR 0000_0000000180843440 A2    2  4441
D 2017-06-06 16:48:47.88 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 17:00:14.64 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-06-06 17:03:41.76 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 17:15:09.40 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-06-06 17:18:35.70 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 17:30:04.27 00:00:00.00 HR 0000_0000000180843440 A2    1  4443
D 2017-06-06 17:33:29.53 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 17:44:58.80 00:00:00.21 HR 0000_0000000180843440 A2    2  4442
D 2017-06-06 17:48:23.48 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-06 17:59:53.31 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
