ad
                           supply                 supply     clock
                            amps                   volts     volts
Rx 0.15 Tx A1 1.27 A2 1.20                 EA 0.88   12.7 V     3.3 V   16:03:35.31
Rx 0.17 Tx A1 1.28 A2 1.20                 EA 0.89   12.7 V     3.3 V   16:03:35.82
Rx 0.16 Tx A1 1.28 A2 1.16                 EA 0.88   12.7 V     3.3 V   16:03:36.33
Rx 0.15 Tx A1 1.28 A2 1.20                 EA 0.89   12.7 V     3.3 V   16:03:36.84
Rx 0.15 Tx A1 1.28 A2 1.20                 EA 0.89   12.7 V     3.3 V   16:03:37.36

>up
upload #56 start: 05/21/2013 11:01:36.38
Site code: JUL
--------- upload 56 start ---------
05/21/2013 11:01:36.38 upload 55 complete
05/21/2013 11:06:14.72 supply power ok 12.8V
05/21/2013 11:06:14.72 database file opened
05/21/2013 11:06:14.72 starting reader after power up
05/23/2013 02:13:09.86  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/23/2013 02:28:05.42  00:00:00.00 R 0000_0000000180843403 A1    1  6768
05/23/2013 02:37:11.67  00:00:00.13 R 0000_0000000180598569 A2    2 14000
05/23/2013 02:43:00.89  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/23/2013 02:57:56.48  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/23/2013 03:08:04.36  00:00:00.13 R 0000_0000000180598569 A2    2 14001
05/23/2013 03:12:51.93  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/23/2013 03:27:47.46  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/23/2013 03:38:57.10  00:00:00.00 R 0000_0000000180598569 A2    1 14002
05/23/2013 03:42:43.00  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/23/2013 03:57:38.64  00:00:00.00 R 0000_0000000180843403 A1    1  6768
05/23/2013 04:09:49.69  00:00:00.13 R 0000_0000000180598569 A2    2 14002
05/23/2013 04:12:34.10  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/23/2013 04:27:29.53  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/23/2013 04:40:42.33  00:00:00.13 R 0000_0000000180598569 A2    2 14001
05/23/2013 04:42:25.21  00:00:00.00 R 0000_0000000180843403 A1    1  6768
05/23/2013 04:57:20.70  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/23/2013 05:11:34.96  00:00:00.15 R 0000_0000000180598569 A2    2 14001
05/23/2013 05:12:16.21  00:00:00.13 R 0000_0000000180843403 A1    2  6766
05/23/2013 05:27:11.79  00:00:00.00 R 0000_0000000180843403 A1    1  6767
05/23/2013 05:42:07.37  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/23/2013 05:42:27.67  00:00:00.00 R 0000_0000000180598569 A2    1 14001
05/23/2013 05:57:02.92  00:00:00.15 R 0000_0000000180843403 A1    2  6767
05/23/2013 06:11:58.41  00:00:00.13 R 0000_0000000180843403 A1    2  6766
05/23/2013 06:13:20.15  00:00:00.13 R 0000_0000000180598569 A2    2 13996
05/23/2013 06:26:53.95  00:00:00.14 R 0000_0000000180843403 A1    2  6770
05/23/2013 06:41:49.47  00:00:00.00 R 0000_0000000180843403 A1    1  6766
05/23/2013 06:44:12.81  00:00:00.14 R 0000_0000000180598569 A2    2 14000
05/23/2013 06:56:44.90  00:00:00.00 R 0000_0000000180843403 A1    1  6767
05/23/2013 07:11:40.20  00:00:00.13 R 0000_0000000180843403 A1    2  6766
