up6
Upload #6, 968 records
Reader: Noname  Site: AA
--------- upload 6 start ---------
E 2016-03-18 09:38:07.09 upload 5 complete
E 2016-03-18 09:41:16.11 parameter change: mux sequence '13'
D 2016-03-19 03:27:30.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 03:29:18.10 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 03:42:26.18 00:00:00.00 HR 0000_0000000180573731 A3    1  4446
D 2016-03-19 03:44:13.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 03:57:21.46 00:00:00.21 HR 0000_0000000180573731 A3    2  4445
D 2016-03-19 03:59:09.10 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 04:12:16.97 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 04:14:04.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 04:27:12.27 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 04:29:00.29 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
E 2016-03-19 04:32:00.01 11.5V 0.20A 0.95A 0.00A 0.79A 0.00A  0N  0N  0N  
D 2016-03-19 04:42:07.60 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 04:43:55.82 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 04:57:02.88 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 04:58:51.32 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 05:11:58.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 05:13:46.88 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 05:26:53.52 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 05:28:42.55 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-19 05:41:48.98 00:00:00.00 HR 0000_0000000180573731 A3    1  4446
D 2016-03-19 05:43:38.22 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-19 05:56:44.28 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 05:58:33.92 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-19 06:11:39.76 00:00:00.00 HR 0000_0000000180573731 A3    1  4446
D 2016-03-19 06:13:29.59 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
